9.0143047561e+26,4.8586988743e+24,4.4554011017e+14,2.5505625600e+09,3.4657520000e+07,2.3294846875e+05,1.8833354492e+03,1.6563158035e+01,2.0616564751e+00,2.0139484406e+00,2.1333086491e+00,1.8989077806e+00,1.9543364048e+00,1.8500478268e+00,1.8006374836e+00
2.1304196972e+22,1.8270160640e+09,8.6397664062e+04,3.2978079224e+02,9.8430356979e+00,1.4989919662e+00,1.2514829636e+00,1.0856872797e+00,1.1102998257e+00,1.1111114025e+00,9.9273419380e-01,9.6082556248e-01,9.6565002203e-01,8.5002005100e-01,9.0925741196e-01
3.8009606945e+15,2.5122716000e+07,1.5690878906e+03,2.3707960510e+02,1.1156371832e+00,5.4859459400e-01,4.2327880859e-01,3.5958552361e-01,3.6094093323e-01,2.7938494086e-01,3.1215262413e-01,3.3800843358e-01,2.6051458716e-01,2.1546787024e-01,2.5622919202e-01
2.1613022020e+13,1.4412925000e+05,3.7895515625e+04,1.5250715256e+01,1.0296519279e+01,2.7979835868e-01,1.8926866353e-01,1.7306889594e-01,1.4503310621e-01,1.7044389248e-01,1.1396870017e-01,1.1787097901e-01,9.5631033182e-02,1.0042519122e-01,9.3793600798e-02
6.9299164160e+09,1.6462264062e+05,2.5031848145e+02,2.7525190353e+01,2.3475022614e-01,1.4381857216e-01,1.1580289900e-01,1.0799954832e-01,9.7726099193e-02,9.0375117958e-02,8.4486313164e-02,6.9376282394e-02,7.0082060993e-02,6.9374054670e-02,6.4344495535e-02
3.5440164864e+10,5.1649965625e+05,2.6259287109e+03,6.7181949615e+00,3.1272166967e-01,1.2342076749e-01,9.1691568494e-02,8.6531050503e-02,6.8358637393e-02,6.9801546633e-02,6.0234270990e-02,5.3865246475e-02,4.9789354205e-02,5.5427614599e-02,4.5146141201e-02
2.2482934091e+14,7.0809472656e+03,1.4798379517e+02,2.8200652599e+00,3.2808694243e-01,8.9334174991e-02,7.7278643847e-02,6.4175263047e-02,5.9074103832e-02,5.5642358959e-02,4.7033112496e-02,4.6481344849e-02,4.8155024648e-02,3.9508603513e-02,3.7572421134e-02
6.9238702080e+10,2.7645917969e+04,1.2508438721e+03,5.5976972580e+00,9.0093040466e-01,1.0282739252e-01,6.3584223390e-02,5.4403852671e-02,4.6393051744e-02,4.6954330057e-02,4.0565460920e-02,3.8979735225e-02,3.5057991743e-02,3.1341016293e-02,3.0758041888e-02
3.5167136000e+08,4.5912625000e+04,5.1056948853e+02,2.8535942078e+01,1.5335327387e-01,2.0779123902e-01,4.9386378378e-02,4.5492697507e-02,4.2222559452e-02,4.0768474340e-02,3.6415249109e-02,3.3780843019e-02,3.3592484891e-02,2.7469115332e-02,2.7429901063e-02
9.6014400000e+05,4.7455447388e+02,1.7160436630e+01,8.7424306870e+00,1.9243283570e-01,7.5587049127e-02,4.8171021044e-02,4.0885377675e-02,4.0625136346e-02,3.3873233944e-02,3.0373750255e-02,2.8277572244e-02,2.7018534020e-02,2.9681982473e-02,2.3802708834e-02
2.4295115000e+06,5.3920477295e+02,1.7529210205e+03,1.4768304443e+02,8.9138872921e-02,8.0621130764e-02,4.2497307062e-02,3.6153610796e-02,3.2448071986e-02,2.9700804502e-02,2.9643302783e-02,2.6690348983e-02,2.6316495612e-02,2.4822987616e-02,2.0806388929e-02
6.2131890000e+06,2.7905627441e+03,2.9872545242e+01,3.0854139328e+00,2.0916488767e-01,7.8379787505e-02,3.4549139440e-02,3.3524822444e-02,2.8853252530e-02,2.5558678433e-02,2.6252875105e-02,2.2859327495e-02,2.2140340880e-02,2.1972099319e-02,1.9668655470e-02
1.5165411000e+07,1.6523320312e+03,3.9052615356e+02,3.0913548470e+00,1.7677088082e-01,4.6737890691e-02,3.5466443747e-02,3.0680207536e-02,2.8059544042e-02,2.6427296922e-02,2.3726467043e-02,2.0981436595e-02,2.0279828459e-02,2.0169179887e-02,1.8247263506e-02
5.6640980469e+04,2.6369538574e+03,1.1678632355e+02,2.2421796799e+01,7.9540386796e-02,3.9462782443e-02,3.0009645969e-02,3.2043874264e-02,2.6505421847e-02,2.2110126913e-02,2.1853793412e-02,1.9036673009e-02,1.8984366208e-02,1.8484471366e-02,1.7032567412e-02
6.5029057617e+03,2.5086171875e+04,6.0860992432e+01,7.0460259914e-01,8.0597810447e-02,3.8994349539e-02,3.1006285921e-02,2.5910418481e-02,2.1980499849e-02,2.1531827748e-02,2.1707324311e-02,1.8130088225e-02,1.7743134871e-02,1.6614217311e-02,1.4714914374e-02
