n,m,t,mean_loss,se_loss
30,200,0,2.0091898441314697,nan
30,200,1,1.466123342514038,nan
30,200,2,1.2458746433258057,nan
30,200,3,1.237971305847168,nan
30,200,4,1.1760797500610352,nan
30,200,5,1.1951801776885986,nan
30,200,6,1.171161413192749,nan
30,200,7,1.2135413885116577,nan
30,200,8,1.2263423204421997,nan
30,200,9,1.332240343093872,nan
30,200,10,1.45111882686615,nan
30,200,11,1.782734751701355,nan
30,200,12,2.318922519683838,nan
30,200,13,3.5429651737213135,nan
30,200,14,5.84589958190918,nan
30,200,15,10.82935619354248,nan
30,200,16,20.86835479736328,nan
30,200,17,42.32985305786133,nan
30,200,18,87.01595306396484,nan
30,200,19,182.56033325195312,nan
30,200,20,384.982421875,nan
30,200,21,819.2760620117188,nan
