-1.0876738550e-40,3.3487810311e-40,4.8725950202e-41,1.7637863511e-40,-7.0643024763e-10,6.6091348424e-25,2.6244078159e-40,-3.2142101357e-39,9.6462877960e-39,-5.5115736674e-38,6.0356144515e-38,1.0125222184e-40,3.0013290769e-40,-5.5861460073e-39,1.2538916750e-38,-2.5455483435e-38,7.9385071406e-39,-5.7472361732e-06,4.8753247496e-39,6.2047968585e-39,-3.9885680451e-34,-2.6452170981e-40
-6.2205936961e-39,-1.9244465519e-19,1.4845360135e-38,-5.5627989736e-39,5.5899547365e-39,1.6714407823e-40,1.0189109973e-19,5.9425337914e-14,-3.5886600381e-04,-2.4232825302e-38,3.1735066192e-40,9.0704648297e-41,-4.4755314951e-39,-3.1182814467e-40,5.0025051969e-39,-4.5419558449e-39,-3.7420274191e-41,-1.0895778637e-12,-9.2415701827e-13,-3.2760116018e-40,2.3113857650e-40,1.8179176700e-38
-3.6964302881e-38,8.0955655049e-14,-9.9080828722e-22,1.5059334207e-40,-1.4283559722e-05,-2.2389386344e-40,-4.2604503977e-39,6.6578138048e-31,6.1915293646e-39,3.9726559230e-39,-2.0220677910e-10,1.3711416806e-38,2.7769391538e-40,3.4197539957e-39,1.5553881967e-12,1.0113955744e-38,2.3594993477e-39,2.4537780167e-17,-3.4659449970e-39,-2.8768979771e-39,-2.6176619651e-39,3.5134203880e-10
1.5105857316e-40,-6.0569060245e-16,-2.9048696781e-10,-3.1463774809e-40,2.4751227261e-38,2.5360275657e-08,-1.6597119141e-40,2.4761909572e-06,-7.1962113181e-39,5.5475766683e-39,5.4009181724e-39,1.1159669118e-38,-1.2560258525e-40,2.8192723804e-41,-8.9138947363e-19,2.1373865347e-40,1.3140812275e-38,1.4898184883e-40,-2.1804624494e-40,3.2232638867e-12,-1.1594287442e-38,7.3881856224e-06
-1.2752030144e-37,1.4054351826e-15,6.6244983602e-41,-2.3308413928e-39,-2.1346565250e-38,1.0608389894e-40,-2.7145824931e-38,-2.5780500601e-39,-4.3449416886e-39,1.0148976995e-38,7.7459575212e-41,-2.8531080276e-10,-1.4387211207e-38,2.6849298966e-40,2.3212649191e-40,1.2316547782e-09,1.3983517420e-06,-5.1298047546e-39,1.2500700538e-38,4.2195316418e-38,-3.3822720644e-40,-1.4808646524e-14
2.2783556233e-06,-1.8100793669e-38,-2.4331866685e-20,2.5283782335e-39,3.1781553389e-06,2.8143588674e-38,2.9381865681e-40,-8.4093322143e-41,-3.2641145779e-39,9.8617934868e-39,2.7070283734e-40,8.5618347816e-25,3.5424789758e-23,1.0905051786e-38,2.1507409090e-40,-4.3947799163e-30,8.2414774332e-14,-9.5805316960e-06,8.8541952751e-16,2.2797987870e-20,-1.9862705083e-40,4.2377717833e-39
-3.0471669509e-39,1.1515285037e-38,4.6630224270e-39,2.9708625970e-19,1.3185377770e-40,-1.5123981061e-16,-4.3953996437e-39,1.3780783883e-38,3.8439676785e-39,3.1047673243e-39,3.6497336984e-39,-5.9466594645e-38,-7.3009864043e-39,2.0540012596e-20,-8.6880504788e-41,-5.4430636250e-41,8.7049431318e-39,1.1174891423e-38,-6.4474863382e-39,1.9367012882e-08,-3.7150619525e-38,1.6217507387e-40
3.3312026062e-06,1.8956832719e-05,-3.4272397321e-40,1.6554519668e-40,-4.2929261923e-08,1.8677893218e-39,7.8465707510e-41,-1.1291943285e-40,3.5120323022e-40,5.9938223580e-28,-2.4706293225e-40,1.2217809207e-38,2.8194685622e-40,2.8739646041e-06,1.5050085637e-40,2.8779937925e-39,-2.6352211524e-09,1.8790445511e-39,-1.1225551165e-38,-2.7175675391e-39,-2.2740483373e-18,2.4271218077e-39
1.2936647293e-40,2.0414790924e-07,9.0632056526e-07,1.9047836850e-29,-4.6411005138e-41,-3.8432454493e-38,2.4739503998e-40,-1.9079631475e-38,-2.6519573437e-41,-4.5354552213e-39,-5.5757377595e-06,-9.5736711083e-42,2.9576112393e-11,1.2186532225e-40,-4.4175681854e-39,8.4905108356e-39,2.8193886028e-12,1.9672408751e-40,-2.3240254771e-40,-1.7837128152e-40,1.6323654108e-06,2.7327562132e-40
-1.8567526183e-08,5.2333026973e-38,1.0749360520e-41,5.6543780321e-39,-8.9718134178e-41,2.5499245987e-38,-1.7270931907e-10,1.7132835544e-40,2.3405047471e-40,-5.3811150225e-39,-3.4759068278e-40,2.4511569857e-11,1.5835960269e-14,-1.6798416618e-04,6.3079450372e-41,-4.5677985912e-39,4.3958718813e-39,2.5730362190e-16,-3.3952410817e-39,3.1100950611e-39,1.9256068342e-20,1.3130007904e-21
3.4308971211e-40,4.5103298874e-10,-4.1826727277e-39,-1.1868437473e-40,-1.5291408505e-15,1.4248624359e-28,4.5786712660e-39,7.9675431659e-38,-1.0771218228e-07,-9.1701167687e-39,2.2246720147e-39,-2.6888420417e-38,-8.9947064309e-39,9.8439661678e-39,1.1398557940e-17,2.1929048588e-38,-3.6840336812e-20,3.3934488209e-38,2.0552393121e-11,3.8845394730e-41,3.1297959162e-39,4.6798015748e-39
8.1443744898e-01,-8.9767994359e-03,9.0809762478e-03,7.6320923865e-02,-2.6515856385e-02,-1.3423350640e-02,-1.1530577391e-01,2.3858167231e-02,-1.9102316350e-02,-1.9328163937e-02,-4.4325427152e-03,-4.7511497542e-05,-1.8033029678e-40,-6.8874071755e-39,-1.6953955591e-38,3.2870678467e-40,3.3002260393e-40,1.2583922252e-38,-1.6852856111e-40,1.3569753939e-40,2.9129751389e-10,4.2159101260e-39
6.0373507440e-03,8.0638563633e-01,4.3198607862e-02,2.5143677369e-02,-2.5246897712e-03,-7.0907548070e-02,-2.1245269105e-02,1.6398305073e-02,3.5807255656e-02,-2.9818413779e-02,-1.6027797014e-02,-6.8887356974e-06,2.7548827159e-40,5.5507763933e-38,-2.0220731482e-22,2.5202128673e-39,1.2304647672e-38,-3.2340508404e-38,1.3637554364e-38,2.9476873716e-40,-4.0866557570e-39,1.6597539531e-40
1.7788929865e-02,1.7203275114e-02,8.1226176023e-01,-2.9658824205e-02,7.6142512262e-03,3.9617989212e-02,6.5019413829e-02,1.9686872140e-02,-1.6224212945e-02,1.0952566750e-02,-2.2754148813e-04,-1.6350598512e-38,3.9346362294e-37,1.4183880633e-11,-3.5087112248e-40,2.4236191221e-38,1.1104892361e-38,1.9100959237e-40,2.3512536534e-19,-6.2195861625e-39,5.9503677221e-06,-1.1121238508e-38
-2.7605775744e-02,-7.1551427245e-02,-1.7777791247e-02,8.2362449169e-01,-8.5600517690e-02,-2.4216724560e-02,-3.4745514393e-02,3.6587551236e-02,1.2782353908e-02,-5.4218053818e-02,-1.0608285083e-04,-1.9785773797e-40,-2.5318557472e-13,-4.2573395151e-39,8.5200347929e-41,-1.1592493743e-17,-1.3687471778e-07,-6.9477898990e-09,-8.0852911146e-20,-3.4875376050e-40,6.9580073948e-41,-9.1990886145e-39
-9.9085308611e-03,-9.1709289700e-03,-9.5384800807e-03,4.9907877110e-03,8.1441247463e-01,-1.7544114962e-02,1.2605241500e-03,-6.6321671009e-02,3.8886822294e-03,9.7647365183e-03,6.1291083694e-03,1.6732383708e-13,-2.7783390509e-39,-1.8636428796e-40,-6.7460755417e-06,-6.3354104871e-41,-1.2302699868e-40,6.0395105583e-11,-1.1431792872e-40,-1.8968662649e-39,8.9552444648e-39,-2.0295482100e-39
-7.2228312492e-02,1.1491753161e-02,-8.2154115662e-03,-3.3568326384e-02,-1.5206038952e-02,7.9395371675e-01,5.6000519544e-02,5.3138546646e-02,2.1283185109e-02,-1.7633503303e-02,-8.6700115353e-03,2.0885050633e-11,-2.8117199236e-08,9.7836959914e-21,-9.7800520497e-16,-1.9500889819e-40,-5.0239478660e-39,-9.2064540433e-16,2.8782238857e-38,6.1997914204e-39,-1.4479590407e-38,1.5827526025e-40
3.7988204509e-02,1.7113512382e-02,-2.6983458549e-02,2.6005001739e-02,2.8382525779e-03,1.8171627074e-02,7.7412033081e-01,4.6798405237e-03,3.0523929745e-02,-1.9590454176e-02,-4.6879840083e-03,6.9854728447e-42,8.4235778144e-39,7.9296677499e-41,1.7826898674e-40,-1.5015613694e-40,-1.8934765239e-40,4.9432101648e-17,-1.8424384313e-38,4.5338387179e-15,-3.4762431394e-40,-4.6824388185e-41
-1.9947802648e-02,-2.2373110056e-02,5.4734576494e-02,6.7003399134e-02,6.4683586359e-02,-6.3085444272e-02,-5.6031282991e-02,8.1405502558e-01,-2.7831245214e-02,2.8190717101e-02,1.8280772492e-03,-8.5885526827e-39,3.3785649282e-19,-5.1086760777e-07,-1.4819293728e-14,1.8462365317e-11,-5.3756135247e-39,2.3603106995e-39,-7.6110125147e-13,-3.0099470624e-40,-6.3265823067e-41,-1.0604298103e-38
5.3092345595e-02,-4.6041592956e-02,9.1706821695e-03,-2.2014617920e-02,7.2868200950e-03,-4.6569652855e-02,-1.1644669808e-02,-6.4315921627e-03,8.2964652777e-01,5.4136890918e-02,2.5674288627e-03,-2.3157718292e-40,-8.5586578036e-17,1.1590085336e-08,6.3162673487e-39,2.0724783898e-40,6.0659189183e-18,3.6655599632e-39,-8.7648817241e-13,-2.0571621976e-40,5.8550458562e-06,-2.6071578318e-40
2.8286609799e-02,2.5875087827e-02,3.5051822662e-02,1.0133428127e-01,-2.8889037203e-03,-6.7373245955e-02,-3.1453114003e-02,-4.0583532304e-02,5.1701362245e-03,7.5381094217e-01,1.0252999142e-02,2.9827310436e-39,-2.1267192902e-38,-1.0701737392e-38,6.0608905127e-39,3.0089577457e-38,2.0249743718e-40,1.0757619862e-07,5.4879051758e-41,-8.7291255113e-06,-3.3475895179e-05,4.1241993454e-39
1.0120397113e-19,-6.9630520692e-42,-4.1476879103e-39,-4.4942072286e-10,-1.2627351575e-37,-6.3637214750e-17,2.6600428359e-40,-3.4449745655e-39,9.9863187835e-24,-5.3502537867e-07,1.3052736390e-21,4.4226503920e-20,1.3855962144e-38,2.8690184759e-41,-7.5012347574e-39,1.4356099372e-16,-2.2057049916e-37,9.1601114977e-39,2.4516639770e-21,-3.3857332716e-40,-3.1477829833e-39,-2.8457877499e-39
