2.5917865499e+28,5.3446818057e+24,1.7565102585e+14,1.2029579520e+09,9.0565880000e+06,3.4985031250e+05,1.4111304932e+03,1.4283711433e+01,2.0773582458e+00,2.0281405449e+00,2.1575839520e+00,1.9010057449e+00,1.9675787687e+00,1.8409960270e+00,1.8204572201e+00
2.4248110607e+17,2.4392729600e+09,2.1805115625e+05,5.3490759277e+02,8.9494562149e+00,1.7946158648e+00,1.2326940298e+00,1.0974173546e+00,1.1280354261e+00,1.0898860693e+00,1.0033532381e+00,9.2666476965e-01,9.9448239803e-01,7.9846304655e-01,8.6926072836e-01
4.5975058661e+15,4.6335712000e+07,2.3364387207e+03,2.4415667725e+02,1.4686583281e+00,4.7811141610e-01,4.2067670822e-01,3.6811232567e-01,2.8593233228e-01,2.6876345277e-01,3.1805157661e-01,3.2401722670e-01,2.0507921278e-01,1.7864683270e-01,2.5755360723e-01
8.4310999905e+14,2.5934803125e+05,1.4011378906e+04,2.0931829453e+01,1.2369571686e+01,2.9320135713e-01,1.7725852132e-01,2.2533279657e-01,1.9356122613e-01,1.2470099330e-01,1.7083528638e-01,1.0277244449e-01,1.5089713037e-01,1.0703516752e-01,8.6337737739e-02
4.1795973939e+11,1.1668793750e+05,5.0607901001e+02,2.3627408981e+01,3.9518451691e-01,1.2967261672e-01,1.7548960447e-01,1.6289287806e-01,1.5004211664e-01,8.4103181958e-02,1.4079283178e-01,1.2472672760e-01,1.2369382381e-01,1.2397497892e-01,6.1659984291e-02
5.8806756966e+11,1.1941653750e+06,4.4155751953e+03,4.5446319580e+00,3.4771990776e-01,1.8043261766e-01,8.5697628558e-02,1.4674678445e-01,1.2654483318e-01,1.2914051116e-01,1.1809454113e-01,4.9733016640e-02,4.7470752150e-02,5.1690939814e-02,9.6773080528e-02
3.3014229133e+14,1.4184706055e+04,2.2264436340e+02,2.7433042526e+00,3.4396249056e-01,8.2313567400e-02,7.2389654815e-02,1.2239426374e-01,5.5229470134e-02,5.3171366453e-02,1.0288529843e-01,4.4126540422e-02,4.6046152711e-02,9.1905884445e-02,9.1594636440e-02
5.4431465472e+10,5.5667875000e+04,1.0792498779e+03,3.9575588703e+00,6.0226982832e-01,8.5904583335e-02,5.8898825198e-02,5.2333179861e-02,1.0665004700e-01,4.3990325183e-02,9.8712727427e-02,3.7337090820e-02,8.8071465492e-02,8.5426978767e-02,8.3892062306e-02
1.1874263200e+08,3.9880597656e+04,4.6353970337e+02,4.2266609192e+01,3.2613623142e-01,2.0086446404e-01,1.1447297037e-01,4.3022856116e-02,3.9372645319e-02,1.0054185987e-01,9.1488450766e-02,3.2271523029e-02,8.7756931782e-02,2.6194846258e-02,7.9374730587e-02
1.7078832500e+06,6.5380688477e+02,1.8308994293e+01,9.3219060898e+00,1.9158108532e-01,9.3588411808e-02,4.4596835971e-02,1.0195713490e-01,9.8233759403e-02,9.0598039329e-02,8.6123220623e-02,2.6697155088e-02,7.9825617373e-02,2.8292773291e-02,7.4482798576e-02
3.0158235000e+06,4.7966415405e+02,1.0448666992e+03,7.5928039551e+01,9.2633627355e-02,8.8306784630e-02,3.9742693305e-02,9.9551431835e-02,3.1203534454e-02,8.7371677160e-02,8.7902829051e-02,2.4418357760e-02,8.2551039755e-02,2.3979328573e-02,7.3688730597e-02
1.3830912000e+07,1.7000125000e+04,1.5402464867e+01,1.4034713507e+00,5.7255268097e-01,1.2705890834e-01,1.0023893416e-01,3.1302746385e-02,2.6999542490e-02,8.0990836024e-02,8.2305096090e-02,2.1748935804e-02,2.1396394819e-02,2.1135181189e-02,7.1802355349e-02
1.3680857000e+07,1.5705926514e+03,4.7124987793e+02,3.0589118004e+00,2.5837785006e-01,1.1658415198e-01,3.3334229141e-02,9.2827461660e-02,2.6688951999e-02,2.4962637573e-02,2.2561134771e-02,7.9392552376e-02,1.9749620929e-02,7.4379302561e-02,1.7419999465e-02
1.4460945312e+05,4.6294692383e+03,1.3637977600e+02,2.9818845749e+01,7.4248328805e-02,3.7269089371e-02,2.8575863689e-02,2.9759727418e-02,8.4842517972e-02,8.1197097898e-02,7.7160827816e-02,1.8069334328e-02,7.2549909353e-02,7.3029801250e-02,6.8553753197e-02
8.1465728760e+02,5.8074184570e+03,2.9369863892e+02,5.8376538754e-01,8.2116082311e-02,3.5477973521e-02,2.8808061033e-02,8.8051930070e-02,2.0694471896e-02,8.0943860114e-02,7.8211277723e-02,7.3330670595e-02,7.2712115943e-02,6.8450450897e-02,6.8269208074e-02
